seq_name,time_anno,ann_frames,vid_frames,dataset,split
bear,"{'1': [[0, 81]]}",82,82,davis,train
boat,"{'1': [[0, 74]]}",75,75,davis,train
boxing-fisheye,"{'1': [[0, 86]], '2': [[0, 86]], '3': [[0, 71], [76, 86]]}",87,87,davis,train
breakdance-flare,"{'1': [[0, 70]]}",71,71,davis,train
car-turn,"{'1': [[0, 79]]}",80,80,davis,train
cat-girl,"{'1': [[0, 44], [65, 83]], '2': [[0, 44], [48, 56], [69, 83]]}",89,89,davis,train
classic-car,"{'1': [[0, 62]], '2': [[0, 62]], '3': [[0, 62]]}",63,63,davis,train
color-run,"{'1': [[8, 48]], '2': [[0, 83]], '4': [[0, 83]], '3': [[0, 83]]}",84,84,davis,train
disc-jockey,"{'1': [[0, 52], [55, 75]], '2': [[0, 75]]}",76,76,davis,train
dog-gooses,"{'1': [[0, 4], [25, 59], [62, 85]], '2': [[0, 85]], '3': [[0, 85]], '4': [[0, 18], [27, 85]], '5': [[0, 23], [26, 85]]}",86,86,davis,train
dogs-scale,"{'1': [[0, 16], [17, 22], [42, 82]], '2': [[0, 82]], '3': [[0, 44]], '4': [[23, 36], [58, 65]]}",83,83,davis,train
drift-turn,"{'1': [[0, 63]]}",64,64,davis,train
elephant,"{'1': [[0, 79]]}",80,80,davis,train
flamingo,"{'1': [[0, 79]]}",80,80,davis,train
hike,"{'1': [[0, 79]]}",80,80,davis,train
hockey,"{'1': [[0, 74]], '2': [[0, 74]], '3': [[0, 74]]}",75,75,davis,train
horsejump-low,"{'1': [[0, 59]], '2': [[0, 59]]}",60,60,davis,train
kid-football,"{'1': [[0, 67]], '2': [[0, 67]]}",68,68,davis,train
kite-walk,"{'1': [[0, 62], [71, 79]], '2': [[0, 62], [71, 79]]}",80,80,davis,train
koala,"{'1': [[0, 44], [50, 54], [61, 99]]}",100,100,davis,train
longboard,"{'1': [[0, 51]], '2': [[0, 51]], '3': [[0, 51]], '4': [[0, 51]]}",52,52,davis,train
lucia,"{'1': [[0, 69]]}",70,70,davis,train
mallard-fly,"{'1': [[4, 69]]}",70,70,davis,train
mallard-water,"{'1': [[0, 79]]}",80,80,davis,train
motocross-bumps,"{'1': [[0, 59]], '2': [[0, 59]]}",60,60,davis,train
motorbike,"{'1': [[0, 42]], '2': [[0, 42]], '3': [[0, 42]]}",43,43,davis,train
night-race,"{'1': [[0, 45]], '2': [[0, 45]]}",46,46,davis,train
paragliding,"{'1': [[0, 69]], '2': [[0, 69]]}",70,70,davis,train
planes-water,"{'1': [[0, 37]], '2': [[0, 37]]}",38,38,davis,train
rallye,"{'1': [[0, 49]]}",50,50,davis,train
rhino,"{'1': [[0, 89]]}",90,90,davis,train
rollerblade,"{'1': [[0, 34]]}",35,35,davis,train
schoolgirls,"{'1': [[0, 79]], '2': [[0, 10], [36, 79]], '3': [[0, 79]], '4': [[0, 79]]}",80,80,davis,train
sheep,"{'1': [[0, 35], [42, 67]], '2': [[0, 67]], '3': [[0, 19], [43, 67]], '4': [[0, 46]], '5': [[0, 53]]}",68,68,davis,train
snowboard,"{'1': [[0, 65]], '2': [[0, 65]]}",66,66,davis,train
soccerball,"{'1': [[0, 47]]}",48,48,davis,train
stroller,"{'1': [[0, 90]], '2': [[0, 90]], '3': [[0, 90]]}",91,91,davis,train
stunt,"{'1': [[0, 70]], '2': [[0, 70]]}",71,71,davis,train
surf,"{'1': [[0, 54]], '2': [[0, 54]]}",55,55,davis,train
swing,"{'1': [[0, 59]], '2': [[0, 59]]}",60,60,davis,train
tractor-sand,"{'1': [[0, 75]], '2': [[0, 75]]}",76,76,davis,train
train,"{'1': [[0, 79]], '2': [[0, 79]], '3': [[0, 79]], '4': [[0, 79]]}",80,80,davis,train
varanus-cage,"{'1': [[1, 13], [26, 35], [40, 66]]}",67,67,davis,train
walking,"{'1': [[0, 71]], '2': [[0, 71]]}",72,72,davis,train
bike-packing,"{'1': [[0, 32], [43, 68]], '2': [[0, 68]]}",69,69,davis,test
blackswan,"{'1': [[0, 49]]}",50,50,davis,test
bmx-trees,"{'1': [[0, 79]], '2': [[0, 79]]}",80,80,davis,test
car-shadow,"{'1': [[0, 39]]}",40,40,davis,test
cows,"{'1': [[0, 103]]}",104,104,davis,test
dog,"{'1': [[0, 59]]}",60,60,davis,test
dogs-jump,"{'1': [[10, 65]], '2': [[0, 65]], '3': [[0, 6], [12, 17], [19, 65]]}",66,66,davis,test
drift-straight,"{'1': [[0, 49]]}",50,50,davis,test
goat,"{'1': [[0, 89]]}",90,90,davis,test
horsejump-high,"{'1': [[0, 49]], '2': [[0, 49]]}",50,50,davis,test
judo,"{'1': [[0, 33]], '2': [[0, 33]]}",34,34,davis,test
kite-surf,"{'1': [[0, 49]], '2': [[0, 49]]}",50,50,davis,test
lab-coat,"{'1': [[8, 17], [28, 37]]}",47,47,davis,test
libby,"{'1': [[0, 48]]}",49,49,davis,test
motocross-jump,"{'1': [[0, 39]], '2': [[0, 39]]}",40,40,davis,test
